ags,ort,plz,landkreis,bundesland
08335001,Aach,78267,Landkreis Konstanz,Baden-Württemberg
07235001,Aach,54298,Landkreis Trier-Saarburg,Rheinland-Pfalz
05334002,Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen
08136088,Aalen,73430,Ostalbkreis,Baden-Württemberg
08136088,Aalen,73431,Ostalbkreis,Baden-Württemberg
08136088,Aalen,73432,Ostalbkreis,Baden-Württemberg
08136088,Aalen,73433,Ostalbkreis,Baden-Württemberg
08136088,Aalen,73434,Ostalbkreis,Baden-Württemberg
06439001,Aarbergen,65326,Rheingau-Taunus-Kreis,Hessen
01061001,Aasbüttel,25560,Kreis Steinburg,Schleswig-Holstein
09576111,Abenberg,91183,Landkreis Roth,Bayern
09273111,Abensberg,93326,Landkreis Kelheim,Bayern
07134001,Abentheuer,55767,Landkreis Birkenfeld,Rheinland-Pfalz
09577111,Absberg,91720,Landkreis Weißenburg-Gunzenhausen,Bayern
08125001,Abstatt,74232,Landkreis Heilbronn,Baden-Württemberg
16065001,Abtsbessingen,99713,Kyffhäuserkreis,Thüringen
08136002,Abtsgmünd,73453,Ostalbkreis,Baden-Württemberg
06431001,Abtsteinach,69518,Kreis Bergstraße,Hessen
09675111,Abtswind,97355,Landkreis Kitzingen,Bayern
07133001,Abtweiler,55568,Landkreis Bad Kreuznach,Rheinland-Pfalz
08436001,Achberg,88147,Landkreis Ravensburg,Baden-Württemberg
08317001,Achern,77855,Ortenaukreis,Baden-Württemberg
03361001,Achim,28832,Landkreis Verden,Niedersachsen
09276111,Achslach,94250,Landkreis Regen,Bayern
08426001,Achstetten,88480,Landkreis Biberach,Baden-Württemberg
07137001,Acht,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
07134002,Achtelsbach,55767,Landkreis Birkenfeld,Rheinland-Pfalz
01058001,Achterwehr,24239,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
01054001,Achtrup,25917,Kreis Nordfriesland,Schleswig-Holstein
08117001,Adelberg,73099,Landkreis Göppingen,Baden-Württemberg
03159001,Adelebsen,37139,Landkreis Göttingen,Niedersachsen
03351001,Adelheidsdorf,29352,Landkreis Celle,Niedersachsen
08136003,Adelmannsfelden,73486,Ostalbkreis,Baden-Württemberg
09176111,Adelschlag,85111,Landkreis Eichstätt,Bayern
09572111,Adelsdorf,91325,Landkreis Erlangen-Höchstadt,Bayern
08225001,Adelsheim,74740,Neckar-Odenwald-Kreis,Baden-Württemberg
09571111,Adelshofen,91587,Landkreis Ansbach,Bayern
09179111,Adelshofen,82276,Landkreis Fürstenfeldbruck,Bayern
09772111,Adelsried,86477,Landkreis Augsburg,Bayern
09771111,Adelzhausen,86559,Landkreis Aichach-Friedberg,Bayern
07131001,Adenau,53518,Landkreis Ahrweiler,Rheinland-Pfalz
07336001,Adenbach,67742,Landkreis Kusel,Rheinland-Pfalz
03151001,Adenbüttel,38528,Landkreis Gifhorn,Niedersachsen
03355001,Adendorf,21365,Landkreis Lüneburg,Niedersachsen
09274111,Adlkofen,84166,Landkreis Landshut,Bayern
13072001,Admannshagen-Bargeshagen,18211,Landkreis Rostock,Mecklenburg-Vorpommern
14523010,Adorf/Vogtland,08626,Vogtlandkreis,Sachsen
01061002,Aebtissinwisch,25572,Kreis Steinburg,Schleswig-Holstein
03252001,Aerzen,31855,Landkreis Hameln-Pyrmont,Niedersachsen
08118001,Affalterbach,71563,Landkreis Ludwigsburg,Baden-Württemberg
09771112,Affing,86444,Landkreis Aichach-Friedberg,Bayern
03251001,Affinghausen,27257,Landkreis Diepholz,Niedersachsen
07232001,Affler,54689,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
03359001,Agathenburg,21684,Landkreis Stade,Niedersachsen
01061003,Agethorst,25560,Kreis Steinburg,Schleswig-Holstein
08225002,Aglasterhausen,74858,Neckar-Odenwald-Kreis,Baden-Württemberg
09274112,Aham,84168,Landkreis Landshut,Bayern
05554004,Ahaus,48683,Kreis Borken,Nordrhein-Westfalen
03357001,Ahausen,27367,Landkreis Rotenburg (Wümme),Niedersachsen
13075001,Ahlbeck,17375,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
03358001,Ahlden,29693,Landkreis Heidekreis,Niedersachsen
01058175,Ahlefeld-Bistensee,24358,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
05570004,Ahlen,59227,Kreis Warendorf,Nordrhein-Westfalen
05570004,Ahlen,59229,Kreis Warendorf,Nordrhein-Westfalen
03359002,Ahlerstedt,21702,Landkreis Stade,Niedersachsen
15087010,Ahlsdorf,06313,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
16069001,Ahlstädt,98553,Landkreis Hildburghausen,Thüringen
06633001,Ahnatal,34292,Landkreis Kassel,Hessen
01059102,Ahneby,24996,Kreis Schleswig-Flensburg,Schleswig-Holstein
03351002,Ahnsbeck,29353,Landkreis Celle,Niedersachsen
03257001,Ahnsen,31708,Landkreis Schaumburg,Niedersachsen
09278112,Aholfing,94345,Landkreis Straubing-Bogen,Bayern
09271111,Aholming,94527,Landkreis Deggendorf,Bayern
08128138,Ahorn,74744,Main-Tauber-Kreis,Baden-Württemberg
09473112,Ahorn,96482,Landkreis Coburg,Bayern
09472111,Ahorntal,95491,Landkreis Bayreuth,Bayern
07131002,Ahrbrück,53506,Landkreis Ahrweiler,Rheinland-Pfalz
01055001,Ahrensbök,23623,Kreis Ostholstein,Schleswig-Holstein
01062001,Ahrensburg,22926,Kreis Stormarn,Schleswig-Holstein
12060005,Ahrensfelde,16356,Landkreis Barnim,Brandenburg
13073001,Ahrenshagen-Daskow,18320,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
01054002,Ahrenshöft,25853,Kreis Nordfriesland,Schleswig-Holstein
13073002,Ahrenshoop,18347,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
01054003,Ahrenviöl,25885,Kreis Nordfriesland,Schleswig-Holstein
01054004,Ahrenviölfeld,24896,Kreis Nordfriesland,Schleswig-Holstein
01054004,Ahrenviölfeld,25885,Kreis Nordfriesland,Schleswig-Holstein
09771113,Aichach,86551,Landkreis Aichach-Friedberg,Bayern
09275111,Aicha vorm Wald,94529,Landkreis Passau,Bayern
08117002,Aichelberg,73101,Landkreis Göppingen,Baden-Württemberg
09774166,Aichen,86479,Landkreis Günzburg,Bayern
08325001,Aichhalden,78733,Landkreis Rottweil,Baden-Württemberg
08436003,Aichstetten,88317,Landkreis Ravensburg,Baden-Württemberg
08116081,Aichtal,72631,Landkreis Esslingen,Baden-Württemberg
08116076,Aichwald,73773,Landkreis Esslingen,Baden-Württemberg
09275112,Aidenbach,94501,Landkreis Passau,Bayern
09674111,Aidhausen,97491,Landkreis Haßberge,Bayern
08115001,Aidlingen,71134,Landkreis Böblingen,Baden-Württemberg
09273113,Aiglsbach,84089,Landkreis Kelheim,Bayern
07143200,Ailertchen,56459,Westerwaldkreis,Rheinland-Pfalz
09771114,Aindling,86447,Landkreis Aichach-Friedberg,Bayern
09172111,Ainring,83404,Landkreis Berchtesgadener Land,Bayern
09773111,Aislingen,89344,Landkreis Dillingen an der Donau,Bayern
09278113,Aiterhofen,94330,Landkreis Straubing-Bogen,Bayern
08336004,Aitern,79677,Landkreis Lörrach,Baden-Württemberg
08436004,Aitrach,88319,Landkreis Ravensburg,Baden-Württemberg
09777111,Aitrang,87648,Landkreis Ostallgäu,Bayern
15082005,Aken (Elbe),06385,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
15082005,Aken (Elbe),06386,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
15090003,Aland,39615,Landkreis Stendal,Sachsen-Anhalt
09187186,Albaching,83544,Landkreis Rosenheim,Bayern
08337002,Albbruck,79774,Landkreis Waldshut,Baden-Württemberg
01051001,Albersdorf,25767,Kreis Dithmarschen,Schleswig-Holstein
16074001,Albersdorf,07646,Saale-Holzland-Kreis,Thüringen
08117003,Albershausen,73095,Landkreis Göppingen,Baden-Württemberg
07337001,Albersweiler,76857,Landkreis Südliche Weinstraße,Rheinland-Pfalz
09675112,Albertshofen,97320,Landkreis Kitzingen,Bayern
07336002,Albessen,66871,Landkreis Kusel,Rheinland-Pfalz
07331001,Albig,55234,Landkreis Alzey-Worms,Rheinland-Pfalz
07333001,Albisheim (Pfrimm),67308,Donnersbergkreis,Rheinland-Pfalz
01053001,Albsfelde,23909,Kreis Herzogtum Lauenburg,Schleswig-Holstein
08417079,Albstadt,72458,Zollernalbkreis,Baden-Württemberg
08417079,Albstadt,72459,Zollernalbkreis,Baden-Württemberg
08417079,Albstadt,72461,Zollernalbkreis,Baden-Württemberg
05358004,Aldenhoven,52457,Kreis Düren,Nordrhein-Westfalen
09275114,Aldersbach,94501,Landkreis Passau,Bayern
08327002,Aldingen,78554,Landkreis Tuttlingen,Baden-Württemberg
09779111,Alerheim,86733,Landkreis Donau-Ries,Bayern
09577113,Alesheim,91793,Landkreis Weißenburg-Gunzenhausen,Bayern
09774111,Aletshausen,86480,Landkreis Günzburg,Bayern
07135001,Alf,56859,Landkreis Cochem-Zell,Rheinland-Pfalz
08119001,Alfdorf,73553,Rems-Murr-Kreis,Baden-Württemberg
08119001,Alfdorf,73655,Rems-Murr-Kreis,Baden-Württemberg
09574111,Alfeld,91236,Landkreis Nürnberger Land,Bayern
03254002,Alfeld (Leine),31061,Landkreis Hildesheim,Niedersachsen
03459001,Alfhausen,49594,Landkreis Osnabrück,Niedersachsen
07135002,Alflen,56828,Landkreis Cochem-Zell,Rheinland-Pfalz
03357002,Alfstedt,27432,Landkreis Rotenburg (Wümme),Niedersachsen
05382004,Alfter,53347,Rhein-Sieg-Kreis,Nordrhein-Westfalen
03254003,Algermissen,31191,Landkreis Hildesheim,Niedersachsen
06632001,Alheim,36211,Landkreis Hersfeld-Rotenburg,Hessen
07137201,Alken,56332,Landkreis Mayen-Koblenz,Rheinland-Pfalz
16070001,Alkersleben,99310,Ilm-Kreis,Thüringen
01054005,Alkersum,25938,Kreis Nordfriesland,Schleswig-Holstein
07134003,Allenbach,55758,Landkreis Birkenfeld,Rheinland-Pfalz
06635001,Allendorf,35108,Landkreis Waldeck-Frankenberg,Hessen
07141001,Allendorf,56370,Rhein-Lahn-Kreis,Rheinland-Pfalz
16073001,Allendorf,07426,Landkreis Saalfeld-Rudolstadt,Thüringen
06531001,Allendorf (Lumda),35469,Landkreis Gießen,Hessen
07133002,Allenfeld,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
08335002,Allensbach,78476,Landkreis Konstanz,Baden-Württemberg
09576113,Allersberg,90584,Landkreis Roth,Bayern
09178113,Allershausen,85391,Landkreis Freising,Bayern
08426005,Alleshausen,88422,Landkreis Biberach,Baden-Württemberg
09179113,Alling,82239,Landkreis Fürstenfeldbruck,Bayern
09772114,Allmannshofen,86695,Landkreis Augsburg,Bayern
08426006,Allmannsweiler,88348,Landkreis Biberach,Baden-Württemberg
08425002,Allmendingen,89604,Alb-Donau-Kreis,Baden-Württemberg
08119003,Allmersbach im Tal,71573,Rems-Murr-Kreis,Baden-Württemberg
15087015,Allstedt,06542,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
01054006,Almdorf,25821,Kreis Nordfriesland,Schleswig-Holstein
07132001,Almersbach,57610,Landkreis Altenkirchen,Rheinland-Pfalz
05170004,Alpen,46519,Kreis Wesel,Nordrhein-Westfalen
07143202,Alpenrod,57642,Westerwaldkreis,Rheinland-Pfalz
07143202,Alpenrod,57647,Westerwaldkreis,Rheinland-Pfalz
16068001,Alperstedt,99195,Landkreis Sömmerda,Thüringen
08237002,Alpirsbach,72275,Landkreis Freudenstadt,Baden-Württemberg
07143001,Alsbach,56237,Westerwaldkreis,Rheinland-Pfalz
06432001,Alsbach-Hähnlein,64665,Landkreis Darmstadt-Dieburg,Hessen
05334004,Alsdorf,52477,Städteregion Aachen,Nordrhein-Westfalen
07132002,Alsdorf,57518,Landkreis Altenkirchen,Rheinland-Pfalz
07232002,Alsdorf,54668,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
07333003,Alsenz,67821,Donnersbergkreis,Rheinland-Pfalz
06535001,Alsfeld,36304,Vogelsbergkreis,Hessen
07331002,Alsheim,67577,Landkreis Alzey-Worms,Rheinland-Pfalz
15089005,Alsleben,06425,Salzlandkreis,Sachsen-Anhalt
08116004,Altbach,73776,Landkreis Esslingen,Baden-Württemberg
01059001,Alt Bennebek,24848,Kreis Schleswig-Flensburg,Schleswig-Holstein
13072002,Alt Bukow,18233,Landkreis Rostock,Mecklenburg-Vorpommern
12066008,Altdöbern,03229,Landkreis Oberspreewald-Lausitz,Brandenburg
09274113,Altdorf,84032,Landkreis Landshut,Bayern
08115002,Altdorf,71155,Landkreis Böblingen,Baden-Württemberg
08116005,Altdorf,72655,Landkreis Esslingen,Baden-Württemberg
07337002,Altdorf,67482,Landkreis Südliche Weinstraße,Rheinland-Pfalz
09574112,Altdorf bei Nürnberg,90518,Landkreis Nürnberger Land,Bayern
01058003,Alt Duvenstedt,24782,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
01058003,Alt Duvenstedt,24791,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
01058003,Alt Duvenstedt,24811,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
13073003,Altefähr,18573,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
09375113,Alteglofsheim,93087,Landkreis Regensburg,Bayern
05962004,Altena,58762,Märkischer Kreis,Nordrhein-Westfalen
07131003,Altenahr,53505,Landkreis Ahrweiler,Rheinland-Pfalz
07133003,Altenbamberg,55585,Landkreis Bad Kreuznach,Rheinland-Pfalz
05774004,Altenbeken,33184,Kreis Paderborn,Nordrhein-Westfalen
14628010,Altenberg,01773,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
14628010,Altenberg,01778,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
16074002,Altenberga,07768,Saale-Holzland-Kreis,Thüringen
05566004,Altenberge,48341,Kreis Steinfurt,Nordrhein-Westfalen
16073002,Altenbeuthen,07338,Landkreis Saalfeld-Rudolstadt,Thüringen
09676111,Altenbuch,97901,Landkreis Miltenberg,Bayern
16077001,Altenburg,04600,Landkreis Altenburger Land,Thüringen
07141002,Altendiez,65624,Rhein-Lahn-Kreis,Rheinland-Pfalz
09376112,Altendorf,92540,Landkreis Schwandorf,Bayern
09471111,Altendorf,96146,Landkreis Bamberg,Bayern
07336003,Altenglan,66885,Landkreis Kusel,Rheinland-Pfalz
13071002,Altenhagen,17091,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
15083020,Altenhausen,39343,Landkreis Börde,Sachsen-Anhalt
01058004,Altenhof,24340,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
13071003,Altenhof,17209,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
01058005,Altenholz,24161,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
07336004,Altenkirchen,66903,Landkreis Kusel,Rheinland-Pfalz
13073004,Altenkirchen,18556,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
07132501,Altenkirchen (Westerwald),57610,Landkreis Altenkirchen,Rheinland-Pfalz
01055002,Altenkrempe,23730,Kreis Ostholstein,Schleswig-Holstein
09478111,Altenkunstadt,96264,Landkreis Lichtenfels,Bayern
09189111,Altenmarkt an der Alz,83352,Landkreis Traunstein,Bayern
03360001,Altenmedingen,29575,Landkreis Uelzen,Niedersachsen
01061004,Altenmoor,25335,Kreis Steinburg,Schleswig-Holstein
09772115,Altenmünster,86450,Landkreis Augsburg,Bayern
13073005,Altenpleen,18445,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
08116006,Altenriet,72657,Landkreis Esslingen,Baden-Württemberg
06440001,Altenstadt,63674,Wetteraukreis,Hessen
09190111,Altenstadt,86972,Landkreis Weilheim-Schongau,Bayern
09775111,Altenstadt,89281,Landkreis Neu-Ulm,Bayern
09374111,Altenstadt an der Waldnaab,92665,Landkreis Neustadt an der Waldnaab,Bayern
08235006,Altensteig,72213,Landkreis Calw,Baden-Württemberg
09375114,Altenthann,93177,Landkreis Regensburg,Bayern
13071004,Altentreptow,17087,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
07140001,Alterkülz,56288,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
09679165,Altertheim,97237,Landkreis Würzburg,Bayern
09274114,Altfraunhofen,84169,Landkreis Landshut,Bayern
09179114,Althegnenberg,82278,Landkreis Fürstenfeldbruck,Bayern
08426008,Altheim,88499,Landkreis Biberach,Baden-Württemberg
08425004,Altheim,89605,Alb-Donau-Kreis,Baden-Württemberg
08425005,Altheim (Alb),89174,Alb-Donau-Kreis,Baden-Württemberg
08235007,Althengstett,75382,Landkreis Calw,Baden-Württemberg
07340201,Althornbach,66484,Landkreis Südwestpfalz,Rheinland-Pfalz
08119004,Althütte,71566,Rems-Murr-Kreis,Baden-Württemberg
12060012,Althüttendorf,16247,Landkreis Barnim,Brandenburg
13072004,Altkalen,17179,Landkreis Rostock,Mecklenburg-Vorpommern
13076001,Alt Krenzlin,19288,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
12064029,Altlandsberg,15345,Landkreis Märkisch-Oderland,Brandenburg
07135003,Altlay,56858,Landkreis Cochem-Zell,Rheinland-Pfalz
07332001,Altleiningen,67316,Landkreis Bad Dürkheim,Rheinland-Pfalz
07332001,Altleiningen,67317,Landkreis Bad Dürkheim,Rheinland-Pfalz
08226003,Altlußheim,68804,Rhein-Neckar-Kreis,Baden-Württemberg
09176112,Altmannstein,93336,Landkreis Eichstätt,Bayern
15090007,Altmärkische Höhe,39606,Landkreis Stendal,Sachsen-Anhalt
15090007,Altmärkische Höhe,39615,Landkreis Stendal,Sachsen-Anhalt
15090008,Altmärkische Wische,39615,Landkreis Stendal,Sachsen-Anhalt
13074001,Alt Meteln,19069,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
14522010,Altmittweida,09648,Landkreis Mittelsachsen,Sachsen
01053002,Alt Mölln,23881,Kreis Herzogtum Lauenburg,Schleswig-Holstein
09174111,Altomünster,85250,Landkreis Dachau,Bayern
09171111,Altötting,84503,Landkreis Altötting,Bayern
07231001,Altrich,54518,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
07338001,Altrip,67122,Rhein-Pfalz-Kreis,Rheinland-Pfalz
07232003,Altscheid,54636,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
13071001,Alt Schwerin,17214,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
08436005,Altshausen,88361,Landkreis Ravensburg,Baden-Württemberg
07135004,Altstrimmig,56858,Landkreis Cochem-Zell,Rheinland-Pfalz
13072003,Alt Sührkow,17166,Landkreis Rostock,Mecklenburg-Vorpommern
13075002,Alt Tellin,17129,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
12064009,Alt Tucheband,15328,Landkreis Märkisch-Oderland,Brandenburg
09780112,Altusried,87452,Landkreis Oberallgäu,Bayern
13075003,Altwarp,17375,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
07140002,Altweidelbach,55469,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
13075004,Altwigshagen,17379,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
13076002,Alt Zachun,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
12061005,Alt Zauche-Wußwerk,15913,Landkreis Dahme-Spreewald,Brandenburg
01060002,Alveslohe,25486,Kreis Segeberg,Schleswig-Holstein
09671111,Alzenau,63755,Landkreis Aschaffenburg,Bayern
07331003,Alzey,55232,Landkreis Alzey-Worms,Rheinland-Pfalz
09361000,Amberg,92224,,Bayern
09778111,Amberg,86854,Landkreis Unterallgäu,Bayern
03355002,Amelinghausen,21385,Landkreis Lüneburg,Niedersachsen
09187113,Amerang,83123,Landkreis Rosenheim,Bayern
09779112,Amerdingen,86735,Landkreis Donau-Ries,Bayern
16071102,Am Ettersberg,99439,Landkreis Weimarer Land,Thüringen
15083025,Am Großen Bruch,39393,Landkreis Börde,Sachsen-Anhalt
07232004,Ammeldingen an der Our,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
07232005,Ammeldingen bei Neuerburg,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
12072002,Am Mellensee,15838,Landkreis Teltow-Fläming,Brandenburg
08416048,Ammerbuch,72119,Landkreis Tübingen,Baden-Württemberg
09573111,Ammerndorf,90614,Landkreis Fürth,Bayern
01062090,Ammersbek,22949,Kreis Stormarn,Schleswig-Holstein
09371111,Ammerthal,92260,Landkreis Amberg-Sulzbach,Bayern
16061116,Am Ohmberg,37345,Landkreis Eichsfeld,Thüringen
06534001,Amöneburg,35287,Landkreis Marburg-Biedenkopf,Hessen
09676112,Amorbach,63916,Landkreis Miltenberg,Bayern
09183112,Ampfing,84539,Landkreis Mühldorf am Inn,Bayern
13072005,Am Salzhaff,18233,Landkreis Rostock,Mecklenburg-Vorpommern
08425008,Amstetten,73340,Alb-Donau-Kreis,Baden-Württemberg
16063104,Amt Creuzburg,99831,Wartburgkreis,Thüringen
03355049,Amt Neuhaus,19273,Landkreis Lüneburg,Niedersachsen
14521010,Amtsberg,09439,Erzgebirgskreis,Sachsen
16070028,Amt Wachsenburg,99102,Ilm-Kreis,Thüringen
16070028,Amt Wachsenburg,99334,Ilm-Kreis,Thüringen
08436006,Amtzell,88279,Landkreis Ravensburg,Baden-Württemberg
09188117,Andechs,82346,Landkreis Starnberg,Bayern
03357003,Anderlingen,27446,Landkreis Rotenburg (Wümme),Niedersachsen
07137003,Andernach,56626,Landkreis Mayen-Koblenz,Rheinland-Pfalz
15084012,An der Poststraße,06647,Burgenlandkreis,Sachsen-Anhalt
16065088,An der Schmücke,06577,Kyffhäuserkreis,Thüringen
03454001,Andervenne,49832,Landkreis Emsland,Niedersachsen
16068002,Andisleben,99189,Landkreis Sömmerda,Thüringen
08226102,Angelbachtal,74918,Rhein-Neckar-Kreis,Baden-Württemberg
06534002,Angelburg,35719,Landkreis Marburg-Biedenkopf,Hessen
09172112,Anger,83454,Landkreis Berchtesgadener Land,Bayern
12073008,Angermünde,16278,Landkreis Uckermark,Brandenburg
15083030,Angern,39326,Landkreis Börde,Sachsen-Anhalt
15083030,Angern,39517,Landkreis Börde,Sachsen-Anhalt
07138002,Anhausen,56584,Landkreis Neuwied,Rheinland-Pfalz
13071005,Ankershagen,17219,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
13075005,Anklam,17389,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
03459002,Ankum,49577,Landkreis Osnabrück,Niedersachsen
14521020,Annaberg-Buchholz,09456,Erzgebirgskreis,Sachsen
15091010,Annaburg,06925,Landkreis Wittenberg,Sachsen-Anhalt
07337501,Annweiler am Trifels,76855,Landkreis Südliche Weinstraße,Rheinland-Pfalz
05974004,Anröchte,59609,Kreis Soest,Nordrhein-Westfalen
16064073,Anrode,99976,Unstrut-Hainich-Kreis,Thüringen
09561000,Ansbach,91522,,Bayern
07137004,Anschau,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
09190113,Antdorf,82387,Landkreis Weilheim-Schongau,Bayern
06535002,Antrifttal,36326,Vogelsbergkreis,Hessen
07131004,Antweiler,53533,Landkreis Ahrweiler,Rheinland-Pfalz
09175111,Anzing,85646,Landkreis Ebersberg,Bayern
03257002,Apelern,31552,Landkreis Schaumburg,Niedersachsen
03451001,Apen,26689,Landkreis Ammerland,Niedersachsen
15081026,Apenburg-Winterfeld,38486,Altmarkkreis Salzwedel,Sachsen-Anhalt
03359003,Apensen,21641,Landkreis Stade,Niedersachsen
09181111,Apfeldorf,86974,Landkreis Landsberg am Lech,Bayern
09778113,Apfeltrach,87742,Landkreis Unterallgäu,Bayern
16071001,Apolda,99510,Landkreis Weimarer Land,Thüringen
03353001,Appel,21279,Landkreis Harburg,Niedersachsen
01056001,Appen,25482,Kreis Pinneberg,Schleswig-Holstein
07339001,Appenheim,55437,Landkreis Mainz-Bingen,Rheinland-Pfalz
08317005,Appenweier,77767,Ortenaukreis,Baden-Württemberg
07233201,Arbach,56769,Landkreis Vulkaneifel,Rheinland-Pfalz
09571113,Arberg,91722,Landkreis Ansbach,Bayern
07131005,Aremberg,53533,Landkreis Ahrweiler,Rheinland-Pfalz
15081030,Arendsee (Altmark),39619,Altmarkkreis Salzwedel,Sachsen-Anhalt
07231003,Arenrath,54518,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
16061001,Arenshausen,37318,Landkreis Eichsfeld,Thüringen
09185113,Aresing,86561,Landkreis Neuburg-Schrobenhausen,Bayern
07137006,Arft,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
08436094,Argenbühl,88260,Landkreis Ravensburg,Baden-Württemberg
07133004,Argenschwang,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
07140003,Argenthal,55496,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
03255001,Arholzen,37627,Landkreis Holzminden,Niedersachsen
01051002,Arkebek,25767,Kreis Dithmarschen,Schleswig-Holstein
01054007,Arlewatt,25860,Kreis Nordfriesland,Schleswig-Holstein
07331004,Armsheim,55288,Landkreis Alzey-Worms,Rheinland-Pfalz
01060003,Armstedt,24616,Kreis Segeberg,Schleswig-Holstein
03352002,Armstorf,21769,Landkreis Cuxhaven,Niedersachsen
09276113,Arnbruck,93471,Landkreis Regen,Bayern
15090010,Arneburg,39596,Landkreis Stendal,Sachsen-Anhalt
01059002,Arnis,24399,Kreis Schleswig-Flensburg,Schleswig-Holstein
05958004,Arnsberg,59755,Hochsauerlandkreis,Nordrhein-Westfalen
05958004,Arnsberg,59757,Hochsauerlandkreis,Nordrhein-Westfalen
05958004,Arnsberg,59759,Hochsauerlandkreis,Nordrhein-Westfalen
05958004,Arnsberg,59821,Hochsauerlandkreis,Nordrhein-Westfalen
05958004,Arnsberg,59823,Hochsauerlandkreis,Nordrhein-Westfalen
09372112,Arnschwang,93473,Landkreis Cham,Bayern
14625010,Arnsdorf,01477,Landkreis Bautzen,Sachsen
07143203,Arnshöfen,56244,Westerwaldkreis,Rheinland-Pfalz
16070004,Arnstadt,99310,Ilm-Kreis,Thüringen
09677114,Arnstein,97450,Landkreis Main-Spessart,Bayern
15087031,Arnstein,06456,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
09277111,Arnstorf,94424,Landkreis Rottal-Inn,Bayern
01058007,Arpsdorf,24634,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
09372113,Arrach,93474,Landkreis Cham,Bayern
16065086,Artern,06556,Kyffhäuserkreis,Thüringen
03355003,Artlenburg,21380,Landkreis Lüneburg,Niedersachsen
07141201,Arzbach,56337,Rhein-Lahn-Kreis,Rheinland-Pfalz
14730010,Arzberg,04886,Landkreis Nordsachsen,Sachsen
09479112,Arzberg,95659,Landkreis Wunsiedel im Fichtelgebirge,Bayern
07232201,Arzfeld,54687,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
07138003,Asbach,53567,Landkreis Neuwied,Rheinland-Pfalz
